System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
5 Andromedae,,,5,,,,Andromedae,,HD 218470 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,106.097344,-10.15703474,29.0956,F5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Andromedae,,,6,,,,Andromedae,,HD 218804 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,104.207639,-15.62581975,35.5518,F5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Andromedae,,,8,,,,Andromedae,,HD 219734 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,107.527593,-11.03380381,5.6963,M2.5IIIBa0.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Andromedae,,,9,,,,Andromedae,,HD 219815 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,104.9099688,-17.81881593,7.1328,A7m ,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Andromedae,,,10,,,,Andromedae,,HD 219981 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,105.2968548,-17.63672618,6.8444,M0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 Andromedae,,,11,,,,Andromedae,,HD 219945 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,107.6601367,-11.50115392,11.3828,K0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Andromedae,,,12,,,,Andromedae,,HD 220117 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,103.9780419,-21.33393502,23.7806,F5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
13 Andromedae,,,13,,,,Andromedae,,HD 220885 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,106.9150021,-17.32217821,10.3618,B9III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Andromedae,,,15,,,,Andromedae,,HD 221756 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,107.4025584,-20.30767421,13.0457,A1Va ,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Andromedae,,,18,,,,Andromedae,,HD 222304 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,111.3362667,-10.76511098,7.7914,B9Ve ,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Andromedae,,,22,,,,Andromedae,,HD 571 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,115.5246877,-16.20727718,2.1782,F5II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Andromedae,,,23,,,,Andromedae,,HD 905 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,115.2696982,-21.2714677,26.8715,F0IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
26 Andromedae,,,26,,,,Andromedae,,HD 1438 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,116.7045889,-18.68443523,5.3927,B8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
28 Andromedae,,,28,,,,Andromedae,,HD 2628 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,117.421785,-32.89203631,16.0963,A7III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Andromedae,,,32,,,,Andromedae,,HD 3817 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,120.7625351,-23.36961753,9.4654,G7IIIa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
36 Andromedae,,,36,,,,Andromedae,,HD 5286 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,123.9759558,-39.23626285,26.33,K0IV(e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 Andromedae,,,39,,,,Andromedae,,HD 6116 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,125.2442044,-21.47504842,9.5651,kA3hA7VmA9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
