System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
20 Pup,,,20,,,,Pup,,HD 68752 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,236.6265842,10.10709963,3.1741,G4Ib-II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Pup,,,21,,,,Pup,,HD 69665 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,237.583044,10.66388842,4.8316,A1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 Pup,,,212,,,,Pup,,HD 64379 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,250.2640356,-3.88279927,54.5631,F5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Pup,,,22,,,,Pup,,HD 70673 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,235.5157892,13.50144322,8.0949,K0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Pup,,,4,,,,Pup,,HD 62952 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,232.1437272,5.065244016,14.7603,F2V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Pup,,,5,,,,Pup,,HD 63336 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,230.3153407,6.662179296,34.7221,F5.5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Pup,,,6,,,,Pup,,HD 63697 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,234.9106668,4.51247427,12.6942,K3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Pup,,,8,,,,Pup,,HD 64077 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,231.3198149,7.141580116,13.7843,F3IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Pup,,,9,,,,Pup,,HD 64096 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,232.2713468,6.62050942,60.59,G0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Pup,,A,{{Flamsteed}},,,,Pup,,HD 54893 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Ce*,250.6920803,-13.82666327,3.7743,B3IV/V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
a Pup,,a,{{Flamsteed}},,,,Pup,,HD 64440 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,255.3471768,-6.858548648,8.9838,K1/2II+A ,,,,,,,,,,,,,,,,,,,,,,,,,,,
b Pup,,b,{{Flamsteed}},,,,Pup,,HD 64503 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,253.8994161,-5.925269343,4.1369,B2V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Pup,,C,{{Flamsteed}},,,,Pup,,HD 53704 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,252.8688854,-15.71945111,10.7379,A3mA3-F0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
c Pup,,c,{{Flamsteed}},,,,Pup,,HD 63032 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,252.3943511,-6.735686065,2.946,K4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
chi Pup,,Chi,{{Flamsteed}},,,,Pup,,HD 65456 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,247.1039077,-0.652583602,1.7157,A7III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
D Pup,,D,{{Flamsteed}},,,,Pup,,HD 54475 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pu*,251.7243218,-14.62654688,4.5288,B3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
d01 Pup,,d-1,{{Flamsteed}},,,,Pup,,HD 61831 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,252.1377955,-7.897906138,5.1576,B3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
d02 Pup,,d-2,{{Flamsteed}},,,,Pup,,HD 61878 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pu*,252.0141526,-7.769946719,4.8969,B5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
d03 Pup,,d-3,{{Flamsteed}},,,,Pup,,HD 61899 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pu*,252.1281544,-7.816272232,2.3923,B3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
d04 Pup,,d-4,{{Flamsteed}},,,,Pup,,HD 61925 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,251.5407595,-7.460966739,1.911,B5IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E Pup,,E,{{Flamsteed}},,,,Pup,,HD 55719 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,251.758614,-13.57504053,7.5641,A1/2V:+ApSrEu ,,,,,,,,,,,,,,,,,,,,,,,,,,,
e Pup,,e,{{Flamsteed}},,,,Pup,,HD 61641 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,250.4636973,-7.158564741,2.789,B3III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
F Pup,,F,{{Flamsteed}},,,,Pup,,HD 57240 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,251.0797584,-11.93755175,7.3579,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
f Pup,,f,{{Flamsteed}},,,,Pup,,HD 61330 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,248.9786038,-6.66999781,9.05,B8IV/V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Pup,,G,{{Flamsteed}},,,,Pup,,HD 45572 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,256.4484376,-23.9688715,5.55,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
H Pup,,H,{{Flamsteed}},,,,Pup,,HD 53811 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,259.9084964,-18.41049908,16.2073,A4IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
h01 Pup,,h-1,{{Flamsteed}},,,,Pup,,HD 68553 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,256.4545744,-3.239857558,2.3831,K4.5Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
h02 Pup,,h-2,{{Flamsteed}},,,,Pup,,HD 69142 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,257.3485188,-3.209275991,10.489,K1II/III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
I Pup,,I,{{Flamsteed}},,,,Pup,,HD 55892 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,257.7183265,-16.02537742,46.9031,F3VFe-1.0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
J Pup,,J,{{Flamsteed}},,,,Pup,,HD 64760 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*b,262.056882,-10.42336239,1.5288,B0.5Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
j Pup,,j,{{Flamsteed}},,,,Pup,,HD 65228 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,240.6420694,3.07295518,5.6806,F7II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
k01 Pup,,k-1,{{Flamsteed}},,,,Pup,,HD 61555 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,241.9634147,-2.437549563,9.0301,B6V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
k02 Pup,,k-2,{{Flamsteed}},,,,Pup,,HD 61556 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,241.9661424,-2.436966619,8.3058,B5IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksi Pup,,Xi,{{Flamsteed}},,,,Pup,,HD 63700 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,241.4550301,0.573070654,3.0059,G6Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
l Pup,,l,{{Flamsteed}},,,,Pup,,HD 62623 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,sg*,244.3819103,-2.541771007,0.9732,A4Iabe ,,,,,,,,,,,,,,,,,,,,,,,,,,,
L01 Pup,,L-1,{{Flamsteed}},,,,Pup,,HD 56022 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,256.2582025,-15.30268237,17.3622,B9V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
L02 Pup,,L-2,{{Flamsteed}},,,,Pup,,HD 56096 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,255.7647759,-15.03582186,17.7906,M5IIIe ,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Pup,,M,{{Flamsteed}},,,,Pup,,HD 57197 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,255.487494,-14.03008306,5.1842,B8II/III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
m Pup,,m,{{Flamsteed}},,,,Pup,,HD 61429 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Pu*,240.6522691,-1.835988022,4.8542,B8III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
N Pup,,N,{{Flamsteed}},,,,Pup,,HD 65551 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,258.9018509,-7.830362733,3.1057,B2III/IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
n Pup A,,n,{{Flamsteed}},,,,Pup,,HD 60584 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,238.557195,-1.708315096,32.7467,F5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
n Pup B,,n,{{Flamsteed}},,,,Pup,,HD 60585 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,238.5594583,-1.70677412,32.7919,F6V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
nu. Pup,,Nu,{{Flamsteed}},,,,Pup,,HD 47670 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,251.9353221,-20.53714387,8.8194,B8III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
O Pup,,O,{{Flamsteed}},,,,Pup,,HD 65685 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,260.2303047,-8.489852343,11.2254,K2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
omi Pup,,Omicron,{{Flamsteed}},,,,Pup,,HD 63462 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,242.2460231,-0.207658628,3.011,B1IVe ,,,,,,,,,,,,,,,,,,,,,,,,,,,
p Pup,,p,{{Flamsteed}},,,,Pup,,HD 60863 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,242.9636613,-3.866286573,13.6185,B7V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
P Pup,,P,{{Flamsteed}},,,,Pup,,HD 63922 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,260.1796775,-10.18542662,3.5065,B0III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
pi. Pup,,Pi,{{Flamsteed}},,,,Pup,,HD 56855 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,249.0106619,-11.27901301,5.7621,K4III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q Pup,,Q,{{Flamsteed}},,,,Pup,,HD 63744 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,260.732107,-10.65984774,14.7735,K0IIIb ,,,,,,,,,,,,,,,,,,,,,,,,,,,
q Pup,,q,{{Flamsteed}},,,,Pup,,HD 70060 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,254.7763509,-0.421084766,34.5439,A8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
r Pup,,r,{{Flamsteed}},,,,Pup,,HD 68980 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,253.5766054,-0.844475135,2.434,B1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
rho Pup,,Rho,{{Flamsteed}},,,,Pup,,HD 67523 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,dS*,243.1483324,4.40189082,51.3999,F5IIkF2IImF5II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
sig Pup,,Sigma,{{Flamsteed}},,,,Pup,,HD 59717 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,255.7359312,-11.91194158,17.0234,K5III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
t Pup,,t,{{Flamsteed}},,,,Pup,,HD 52092 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,** ,244.6066771,-13.49026717,5.5437,B4IV/V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
tau Pup,,Tau,{{Flamsteed}},,,,Pup,,HD 50310 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,260.1632099,-20.86258518,18.7577,K1III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ups01 Pup,,Upsilon-1,{{Flamsteed}},,,,Pup,,HD 57150 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,248.7797532,-10.91168906,3.4962,B2V+B3IVne ,,,,,,,,,,,,,,,,,,,,,,,,,,,
ups02 Pup,,Upsilon-2,{{Flamsteed}},,,,Pup,,HD 57219 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,248.8171395,-10.85604146,2.9923,B3Vne ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Pup,,V,{{Flamsteed}},,,,Pup,,HD 47973 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,V* ,257.1227781,-21.91064406,6.6547,G8III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
W Pup,,W,{{Flamsteed}},,,,Pup,,HD 62713 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,254.8614888,-8.439267159,14.7756,K1III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Pup,,w,{{Flamsteed}},,,,Pup,,HD 70555 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,252.131657,2.096876248,2.5049,K2+IIIa ,,,,,,,,,,,,,,,,,,,,,,,,,,,
x Pup,,x,{{Flamsteed}},,,,Pup,,HD 49591 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,247.3651742,-17.02511524,10.1629,B8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
X Pup,,X,{{Flamsteed}},,,,Pup,,HD 50223 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,PM*,256.1177403,-19.60056015,39.6665,F5.5V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
y Pup,,y,{{Flamsteed}},,,,Pup,,HD 59635 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,XB*,251.6355534,-9.925173856,5.0843,B3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
y02 Pup,,y-2,{{Flamsteed}},,,,Pup,,HD 61391 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,* ,261.4048547,-13.19180835,6.971,B8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
y03 Pup,,y-3,{{Flamsteed}},,,,Pup,,HD 61715 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,261.3133449,-12.85780268,1.2142,F7Ib/II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
z Pup,,z,{{Flamsteed}},,,,Pup,,HD 60606 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Be*,249.8536379,-7.948221705,2.5769,B2Vne ,,,,,,,,,,,,,,,,,,,,,,,,,,,
zet Pup,,Zeta,{{Flamsteed}},,,,Pup,,HD 66811 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,BY*,255.9758829,-4.70568514,3.01,O4I(n)fp ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Pup,,,,Y,,AA,Pup,,HD 66226 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,242.7786721,3.037489161,1.5795,F3IV/V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AD Pup,,,,Y,,AD,Pup,,HD 63446 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,241.9333923,-0.030332498,0.2331,F8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Pup,,,,Y,,AP,Pup,,HD 65592 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,255.4953713,-5.718948966,0.911,F8II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQ Pup,,,,Y,,AQ,Pup,,HD 65589 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,246.1561669,0.106137437,0.2751,F5-G2Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
AU Pup,,,,Y,,AU,Pup,,HD 69951 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,258.8605334,-3.397413923,1.3852,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
BH Pup,,,,Y,,BH,Pup,,HD 67889 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,258.1681178,-5.039508989,1.3839,B3/5III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
CQ Pup,,,,Y,,CQ,Pup,,HD 62982 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,236.1471874,2.771190984,0.8852,M2/3(III) ,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX Pup,,,,Y,,DX,Pup,,HD 66245 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,232.8010316,9.249002274,0.5208,M ,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI Pup,,,,Y,,EI,Pup,,HD 61402 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP*,233.3619507,2.338935823,0.7685,M6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT Pup,,,,Y,,GT,Pup,,HD 56215 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,RV*,249.6717532,-12.17039735,0.4455,K ,,,,,,,,,,,,,,,,,,,,,,,,,,,
KQ Pup,,,,Y,,KQ,Pup,,HD 60414 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,230.6669295,2.521092504,1.3538,M1Iabe+B2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
KQ Pup,,,,Y,,KQ,Pup,,HD 60415 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,230.6669295,2.521092504,1.3538,M1Iabe+B2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
KV Pup,,,,Y,,KV,Pup,,HD 63562 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,261.957076,-11.50412959,2.1564,A1V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
MQ Pup,,,,Y,,MQ,Pup,,HD 60099 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,251.1068446,-9.1670446,1.2677,B7V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW Pup,,,,Y,,MW,Pup,,HD 65293 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,259.4854761,-8.432969679,1.7397,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
MZ Pup,,,,Y,,MZ,Pup,,HD 66888 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,249.834382,-0.692653942,0.8126,M1Iab-Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP Pup,,,,Y,,NP,Pup,,HD 51208 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,252.2062758,-17.37603395,1.7266,C-N4.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
NQ Pup,,,,Y,,NQ,Pup,,HD 64332 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,S* ,230.44897,8.035999683,1.6073,S4.5/2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR Pup,,,,Y,,OR,Pup,,HD 64657 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,243.2747077,0.719630795,3.2241,M5/6III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OT Pup,,,,Y,,OT,Pup,,HD 70654 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,AB*,246.0945186,6.443987996,1.4592,M5/6III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
OX Pup,,,,Y,,OX,Pup,,HD 63401 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,253.7676217,-7.091788084,5.4198,ApSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR Pup,,,,Y,,PR,Pup,,HD 56455 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,257.9578558,-15.71288036,7.3687,ApSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS Pup,,,,Y,,PS,Pup,,HD 60168 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,El*,249.2475122,-8.119756073,4.447,B8V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PT Pup,,,,Y,,PT,Pup,,HD 61068 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,bC*,235.5302722,0.608367727,1.5724,B2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PX Pup,,,,Y,,PX,Pup,,HD 65183 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,LP?,246.9163136,-0.864242054,2.4158,M5/6III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PY Pup,,,,Y,,PY,Pup,,HD 66255 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,263.3355968,-9.774115255,2.3113,B9Ib ,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZ Pup,,,,Y,,PZ,Pup,,HD 66403 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,251.8083913,-2.493947194,0.9648,B2/3IV ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR Pup,,,,Y,,QR,Pup,,HD 69342 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,El*,258.8431557,-4.020201498,1.029,B3II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QS Pup,,,,Y,,QS,Pup,,HD 63949 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,bC*,260.6090473,-10.42273671,2.5838,B2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QU Pup,,,,Y,,QU,Pup,,HD 64365 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,bC*,257.3170957,-8.100705518,1.7592,B2III ,,,,,,,,,,,,,,,,,,,,,,,,,,,
QY Pup,,,,Y,,QY,Pup,,HD 63302 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*r,233.5899194,4.709352073,0.3197,K1Ia-Iab ,,,,,,,,,,,,,,,,,,,,,,,,,,,
R Pup,,,,Y,,R,Pup,,HD 62058 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,s*y,246.4275235,-4.427419148,0.244,G2_0-Ia ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS Pup,,,,Y,,RS,Pup,,HD 68860 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,252.4274823,-0.187155486,0.5693,F8Iab ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RT Pup,,,,Y,,RT,Pup,,HD 67190 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,255.1134178,-3.768343997,1.0183,C-N5.5IIIa: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RU Pup,,,,Y,,RU,Pup,,HD 67507 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,C* ,241.9633613,5.13854164,0.6942,C-N5III: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RV Pup,,,,Y,,RV,Pup,,HD 48675 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,251.4036684,-19.45183732,0.7302,M2-9e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RX Pup,,,,Y,,RX,Pup,,HD 69190 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Sy*,258.5018526,-3.934564534,0.3967,M5.5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SS Pup,,,,Y,,SS,Pup,,HD 63195 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,OH*,242.4329325,-0.6930733,0.8714,M10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
SW Pup,,,,Y,,SW,Pup,,HD 70196 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,EB*,259.8514015,-3.801109183,3.1821,A0V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
TY Pup,,,,Y,,TY,Pup,,HD 60265 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,236.037056,-0.723158713,4.5651,F3V ,,,,,,,,,,,,,,,,,,,,,,,,,,,
U Pup,,,,Y,,U,Pup,,HD 65940 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Mi*,232.4776286,9.057902905,1.6025,M8e ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V Pup,,,,Y,,V,Pup,,HD 65818 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,SB*,263.4755983,-10.27922749,2.7207,B1Vp+B2: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V335 Pup,,,,Y,,V335,Pup,,HD 65227 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,cC*,240.6075243,3.121524834,0.4236,F3II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V336 Pup,,,,Y,,V336,Pup,,HD 66624 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,257.0072213,-5.52876983,6.7621,B9pSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V337 Pup,,,,Y,,V337,Pup,,HD 66698 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,247.015416,0.94123543,2.0803,ApSi ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V341 Pup,,,,Y,,V341,Pup,,HD 64972 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,a2*,245.0907025,-0.016366476,1.7074,B8/9II ,,,,,,,,,,,,,,,,,,,,,,,,,,,
V343 Pup,,,,Y,,V343,Pup,,HD 60431 ,,{{HR}},{{HIP}},{{SAO}},,{{Gaia}},,Y*O,259.3155139,-13.05354734,2.448,ApSiMg ,,,,,,,,,,,,,,,,,,,,,,,,,,,
