designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 5958156655128374784,351.2981619445424,-5.9961125131219255,12.980476846829013,19.785063,1.2977505,-0.3280697,1.6258202,,,,,,,77.03877228857651,9.5764440982015,75.73535297493683,-11.591624042899422,-8.047546057087652,C8-T2-D1,
Gaia DR3 5977299633601299968,350.7468379730869,2.631991281574201,12.98880683612118,20.543554,,,,,,,,,,76.98936573750973,10.338143245945885,75.90738079767503,-12.366602290801097,3.535410143384422,C8-T2-U1,
Gaia DR3 4418722281804633472,0.5896533319177849,45.74261524457288,12.980344443199577,18.055159,3.762621,2.3536892,1.4089317,,,,SIPS J1515-0019,,PM*,77.03955810848313,7.8464889220714085,53.76173359808287,0.5533026138238664,55.17665602677145,C6-S1-U6,SIPS J1515-0019
Gaia DR3 6028991386110389504,354.17009548008673,6.667337429915315,12.980497810376633,20.372972,1.0609894,-0.1090889,1.1700783,,,,,,,77.03864787070016,10.164361871711165,76.1218730729457,-7.772320424906846,8.944536926227956,C8-T1-U1,
Gaia DR3 4119723529322615040,7.415580706055901,4.834233140280726,12.983697665265527,19.810106,,,,,,,,,,77.01966156183975,9.602728071347718,76.10378535385428,9.90520105427491,6.490694415022429,C8-S1-U1,
Gaia DR3 4123603912065640064,9.213961570797837,7.737659896218606,12.984815547719496,19.265821,1.7561264,0.29592514,1.4602013,,,,,,,77.01303082242309,9.058873726900929,75.32719054813626,12.21918029840878,10.368843398144215,C8-S2-U2,
Gaia DR3 4144794009352527232,10.618068944747597,5.237011079030252,12.986687614584614,19.703758,1.8104477,0.6458969,1.1645508,,,,,,,77.00192918146091,9.497531325493737,75.36751784350332,14.129249568769843,7.028417915814733,C8-S2-U1,
Gaia DR3 4152044876177521920,16.704119754420468,6.666888452852098,12.988597606795855,19.975935,2.1645584,0.83545303,1.3291054,,,,,,,76.99060593553095,9.770443379401453,73.24309484728845,21.979722095612075,8.938359811004728,C8-S3-U1,
Gaia DR3 4162824037206037248,12.18757875186116,12.543129524135201,12.98761130817355,20.185955,1.5102196,0.197052,1.3131676,,,,,,,76.99645271726492,9.98008375164993,73.4648114755704,15.86698418567525,16.721663157486564,C8-S2-U2,
Gaia DR3 4042218886006052992,357.23834128538,-5.580612108743166,12.988761609921157,20.010057,,,,,,,,,,76.9896338105223,9.80462897954385,76.53573919373214,-3.691884982849379,-7.486943676878049,C8-T1-D1,
